sign	exp	total	exact	less	greater	maxLess	maxGreater	maxAbs
-	DEN	16777216	1	0	16777215	0	8388607	8388607
+	DEN	16777216	1	16777215	0	8388607	0	8388607
-	2^-126	8388608	2369	4204783	4181456	4996	8388608	8388608
+	2^-126	8388608	2369	4181456	4204783	8388608	4996	8388608
-	2^-125	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-125	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-124	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-124	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-123	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-123	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-122	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-122	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-121	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-121	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-120	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-120	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-119	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-119	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-118	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-118	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-117	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-117	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-116	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-116	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-115	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-115	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-114	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-114	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-113	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-113	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-112	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-112	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-111	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-111	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-110	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-110	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-109	8388608	2369	4204783	4181456	4996	4989	4996
