sign	exp	total	exact	less	greater	maxLess	maxGreater	maxAbs
-	DEN	16777216	1	0	16777215	0	8388607	8388607
+	DEN	16777216	1	16777215	0	8388607	0	8388607
-	2^-126	8388608	2930	5187029	3198649	4762	8388608	8388608
+	2^-126	8388608	2930	3198649	5187029	8388608	4762	8388608
-	2^-125	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-125	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-124	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-124	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-123	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-123	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-122	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-122	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-121	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-121	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-120	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-120	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-119	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-119	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-118	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-118	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-117	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-117	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-116	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-116	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-115	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-115	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-114	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-114	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-113	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-113	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-112	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-112	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-111	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-111	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-110	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-110	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-109	8388608	2930	5187029	3198649	4762	4421	4762
